Unnamed: 0,Owner,Size,Type,Quality,DaysInDeposit,week
337,2,2,DRY,CLASE B-C,29,5
338,2,2,DRY,CLASE B-C,31,5
339,2,2,DRY,CLASE A,28,5
340,2,2,DRY,CLASE A,28,5
341,2,2,DRY,CLASE A,28,5
342,2,2,DRY,CLASE A,28,5
343,2,2,DRY,CLASE B-C,27,5
344,2,2,DRY,CLASE B-C,28,5
345,2,2,DRY,CLASE B-C,28,5
346,2,2,DRY,CLASE B-C,28,5
347,5,2,DRY,INSPECTION,31,5
348,3,2,DRY,CLASE B-C,25,5
349,3,2,DRY,CLASE A,18,5
350,3,2,DRY,CLASE A,1,5
351,9,2,DRY,CLASE B-C,2,5
352,2,2,DRY,INSPECTION,21,5
353,2,2,DRY,CLASE B-C,21,5
354,5,2,DRY,CLASE B-C,22,5
355,5,2,DRY,CLASE B-C,22,5
356,1,2,RF,CLASE B-C,22,5
357,1,1,DRY,INSPECTION,19,5
358,1,2,RF,CLASE B-C,18,5
359,1,2,DRY,CLASE B-C,21,5
360,1,2,RF,CLASE B-C,22,5
361,6,2,DRY,CLASE B-C,20,5
362,6,2,RF,CLASE B-C,19,5
363,6,2,DRY,CLASE B-C,16,5
364,6,2,DRY,CLASE B-C,16,5
365,6,2,DRY,CLASE B-C,16,5
366,6,2,DRY,CLASE B-C,15,5
367,6,2,DRY,CLASE B-C,16,5
368,6,2,DRY,CLASE B-C,16,5
369,6,2,DRY,CLASE B-C,20,5
370,6,2,DRY,CLASE B-C,16,5
371,6,2,DRY,CLASE B-C,20,5
372,6,2,DRY,CLASE B-C,20,5
373,6,2,DRY,CLASE B-C,20,5
374,6,2,DRY,CLASE B-C,20,5
375,6,2,DRY,CLASE B-C,16,5
376,6,2,DRY,CLASE B-C,20,5
377,6,2,DRY,CLASE B-C,16,5
378,6,2,DRY,CLASE B-C,16,5
379,6,2,DRY,CLASE B-C,16,5
380,6,2,DRY,CLASE B-C,15,5
381,6,2,RF,CLASE B-C,20,5
382,6,2,RF,CLASE B-C,18,5
383,6,2,RF,CLASE B-C,18,5
384,6,2,DRY,CLASE B-C,16,5
385,6,2,DRY,CLASE B-C,20,5
386,6,2,DRY,CLASE B-C,20,5
387,6,2,DRY,CLASE B-C,15,5
388,6,2,DRY,CLASE B-C,20,5
389,6,2,DRY,CLASE B-C,20,5
390,6,2,DRY,CLASE B-C,16,5
391,6,2,DRY,CLASE B-C,16,5
392,6,2,DRY,CLASE B-C,16,5
393,6,2,DRY,CLASE B-C,16,5
394,6,2,DRY,CLASE B-C,16,5
395,6,2,DRY,CLASE B-C,16,5
396,6,2,DRY,CLASE B-C,20,5
397,6,2,DRY,CLASE B-C,16,5
398,6,2,DRY,CLASE B-C,20,5
399,6,2,DRY,CLASE B-C,19,5
400,6,2,DRY,CLASE B-C,20,5
401,6,2,DRY,CLASE B-C,16,5
402,6,2,DRY,CLASE B-C,19,5
403,6,2,DRY,CLASE B-C,18,5
404,3,1,DRY,CLASE B-C,12,5
405,6,2,DRY,CLASE B-C,9,5
406,6,2,DRY,CLASE B-C,9,5
407,6,2,DRY,CLASE B-C,9,5
408,6,2,DRY,CLASE B-C,9,5
409,6,2,DRY,CLASE B-C,9,5
410,6,2,DRY,CLASE B-C,9,5
411,6,2,DRY,CLASE B-C,9,5
412,6,2,DRY,CLASE B-C,9,5
413,6,2,DRY,CLASE B-C,9,5
414,7,1,DRY,INSPECTION,8,5
415,9,2,DRY,CLASE B-C,6,5
416,9,2,DRY,CLASE B-C,6,5
417,9,2,DRY,CLASE B-C,6,5
418,9,2,DRY,CLASE B-C,6,5
419,9,2,DRY,CLASE B-C,7,5
420,1,1,DRY,CLASE B-C,9,5
421,1,1,DRY,CLASE B-C,5,5
422,1,1,DRY,CLASE B-C,8,5
423,1,1,DRY,CLASE B-C,4,5
424,1,1,DRY,CLASE B-C,9,5
425,1,1,DRY,CLASE B-C,8,5
426,1,1,DRY,CLASE B-C,9,5
427,1,2,DRY,CLASE B-C,10,5
428,7,2,RF,CLASE B-C,3,5
429,7,2,DRY,CLASE B-C,1,5
430,7,2,DRY,CLASE B-C,1,5
431,7,2,DRY,CLASE B-C,1,5
432,7,2,DRY,CLASE B-C,1,5
433,7,2,DRY,CLASE B-C,1,5
434,7,2,DRY,CLASE B-C,1,5
435,7,2,DRY,CLASE B-C,1,5
436,7,2,DRY,CLASE B-C,1,5
437,7,2,DRY,CLASE B-C,1,5
438,7,2,DRY,CLASE B-C,1,5
439,7,2,DRY,CLASE B-C,1,5
440,7,2,DRY,CLASE B-C,1,5
441,7,2,DRY,CLASE B-C,2,5
442,7,2,DRY,CLASE B-C,1,5
443,7,2,DRY,CLASE B-C,2,5
444,7,2,DRY,CLASE B-C,2,5
445,7,2,DRY,CLASE B-C,1,5
446,7,2,DRY,CLASE B-C,2,5
447,7,2,DRY,CLASE B-C,2,5
448,7,2,DRY,CLASE B-C,1,5
449,7,2,DRY,CLASE B-C,2,5
450,7,2,DRY,CLASE B-C,1,5
451,7,2,DRY,CLASE B-C,2,5
452,7,2,DRY,CLASE B-C,1,5
453,7,2,DRY,CLASE B,2,5
454,7,2,DRY,CLASE B-C,1,5
455,7,2,DRY,CLASE B-C,1,5
456,7,2,DRY,CLASE A,1,5
457,7,2,DRY,CLASE B,1,5
458,7,2,DRY,CLASE A,1,5
459,7,2,DRY,CLASE A,1,5
460,7,2,DRY,CLASE A,1,5
461,7,2,DRY,CLASE B-C,1,5
462,7,2,DRY,CLASE B,1,5
463,7,2,DRY,CLASE B,1,5
464,7,2,DRY,CLASE B-C,2,5
465,7,2,DRY,CLASE B-C,2,5
466,7,2,DRY,CLASE B-C,2,5
467,7,2,DRY,CLASE B-C,1,5
468,7,2,DRY,INSPECTION,1,5
469,7,2,DRY,CLASE B-C,1,5
470,7,2,DRY,CLASE B-C,1,5
471,7,2,DRY,CLASE B-C,1,5
472,7,2,DRY,CLASE B-C,2,5
473,7,2,DRY,CLASE B-C,2,5
474,7,2,DRY,CLASE B-C,2,5
475,7,2,DRY,CLASE B-C,2,5
476,7,2,DRY,CLASE B-C,1,5
477,7,2,DRY,CLASE B-C,1,5
478,7,2,DRY,CLASE B-C,2,5
479,7,2,DRY,CLASE B-C,1,5
480,7,2,DRY,CLASE B-C,2,5
481,7,2,DRY,CLASE B-C,2,5
482,7,2,RF,CLASE B-C,3,5
483,7,2,DRY,CLASE B-C,2,5
484,7,2,DRY,CLASE B-C,2,5
485,7,2,DRY,CLASE B-C,1,5
486,7,2,DRY,CLASE B-C,2,5
487,7,2,DRY,CLASE B-C,2,5
488,7,2,DRY,CLASE B-C,1,5
489,7,2,DRY,CLASE B-C,2,5
490,7,2,DRY,CLASE B-C,2,5
491,7,2,DRY,CLASE D,1,5
492,7,2,DRY,CLASE B-C,1,5
493,7,2,DRY,CLASE B-C,2,5
494,7,2,DRY,CLASE B-C,1,5
495,7,2,DRY,CLASE B-C,2,5
496,7,2,DRY,CLASE B-C,1,5
497,7,2,DRY,CLASE B-C,2,5
498,7,2,DRY,CLASE D,1,5
499,7,2,DRY,CLASE B-C,2,5
500,7,2,DRY,CLASE B-C,2,5
501,7,2,DRY,CLASE B-C,1,5
502,7,2,DRY,CLASE B-C,2,5
503,7,2,DRY,CLASE B-C,1,5
504,7,2,DRY,CLASE B-C,2,5
505,7,2,DRY,CLASE B-C,2,5
506,7,2,DRY,CLASE B-C,2,5
507,7,2,DRY,CLASE B-C,1,5
508,6,2,DRY,CLASE B-C,3,5
509,6,2,DRY,CLASE B-C,4,5
510,2,1,DRY,INSPECTION,76,5
511,2,2,RF,INSPECTION,79,5
512,1,1,DRY,INSPECTION,72,5
513,1,1,DRY,INSPECTION,72,5
514,1,2,DRY,CLASE B-C,73,5
515,1,2,RF,INSPECTION,77,5
516,3,2,DRY,CLASE B-C,76,5
517,3,2,DRY,CLASE B-C,76,5
518,1,2,DRY,CLASE B-C,71,5
519,1,1,DRY,INSPECTION,64,5
520,1,1,DRY,INSPECTION,61,5
521,1,1,DRY,CLASE B-C,64,5
522,1,1,DRY,INSPECTION,59,5
523,1,2,DRY,CLASE B-C,62,5
524,1,1,DRY,INSPECTION,62,5
525,1,1,DRY,INSPECTION,63,5
526,1,1,DRY,INSPECTION,62,5
527,1,2,DRY,CLASE B-C,63,5
528,1,2,DRY,CLASE B-C,63,5
529,1,2,DRY,CLASE B-C,62,5
530,1,2,DRY,CLASE B-C,62,5
531,4,2,DRY,CLASE B-C,60,5
532,4,2,DRY,CLASE B-C,60,5
533,2,1,DRY,INSPECTION,44,5
534,1,1,DRY,INSPECTION,63,5
535,6,2,DRY,CLASE B-C,60,5
536,1,1,DRY,INSPECTION,55,5
537,1,1,DRY,INSPECTION,55,5
538,1,1,DRY,INSPECTION,55,5
