,Owner,Size,Type,Quality,DaysInDeposit,week
552,2,2,RF,CLASE B-C,28,11
553,2,2,DRY,INSPECTION,32,11
554,2,2,DRY,INSPECTION,39,11
555,2,2,DRY,INSPECTION,35,11
556,2,1,DRY,INSPECTION,31,11
557,2,2,RF,CLASE B-C,27,11
558,2,2,RF,CLASE B-C,28,11
559,2,2,RF,CLASE B-C,27,11
560,2,2,RF,CLASE B-C,27,11
561,2,2,RF,CLASE B-C,27,11
562,2,2,RF,CLASE B-C,27,11
563,2,2,DRY,INSPECTION,35,11
564,2,2,DRY,INSPECTION,35,11
565,2,2,DRY,INSPECTION,39,11
566,6,2,DRY,CLASE A,38,11
567,7,2,DRY,CLASE B-C,3,11
568,7,2,DRY,CLASE B-C,3,11
569,7,2,DRY,CLASE B-C,4,11
570,7,2,DRY,CLASE B-C,2,11
571,7,2,DRY,CLASE B-C,4,11
572,7,2,DRY,CLASE B-C,4,11
573,7,2,DRY,CLASE B-C,4,11
574,7,2,DRY,CLASE B,4,11
575,7,2,DRY,CLASE B-C,4,11
576,7,2,DRY,CLASE B-C,4,11
577,7,2,DRY,CLASE B-C,3,11
578,7,2,DRY,CLASE B-C,4,11
579,7,2,DRY,CLASE B-C,4,11
580,7,2,DRY,CLASE B-C,4,11
581,7,2,DRY,CLASE B-C,4,11
582,7,2,DRY,CLASE B-C,3,11
583,7,2,DRY,CLASE B-C,3,11
584,7,2,DRY,CLASE B-C,4,11
585,7,2,DRY,CLASE B-C,4,11
586,7,2,DRY,CLASE B-C,4,11
587,7,2,DRY,CLASE B-C,3,11
588,7,2,DRY,CLASE B-C,3,11
589,6,2,DRY,CLASE B-C,36,11
590,6,2,DRY,CLASE B-C,34,11
591,9,2,DRY,CLASE B-C,26,11
592,9,2,DRY,CLASE B-C,26,11
593,9,2,DRY,CLASE B-C,27,11
594,2,2,RF,CLASE B-C,27,11
595,2,2,DRY,CLASE B-C,18,11
596,2,2,RF,CLASE B-C,27,11
597,6,2,DRY,CLASE B-C,33,11
598,6,2,DRY,CLASE B-C,33,11
599,3,2,DRY,CLASE B-C,29,11
600,7,2,RF,CLASE B-C,24,11
601,7,2,RF,CLASE B-C,26,11
602,2,2,DRY,CLASE B-C,22,11
603,2,1,DRY,INSPECTION,23,11
604,2,2,DRY,CLASE B-C,22,11
605,2,1,DRY,INSPECTION,23,11
606,2,2,DRY,CLASE B-C,22,11
607,2,1,DRY,INSPECTION,22,11
608,2,2,DRY,INSPECTION,25,11
609,2,2,DRY,CLASE B-C,22,11
610,2,2,DRY,CLASE B-C,22,11
611,2,2,DRY,CLASE B-C,22,11
612,2,1,DRY,INSPECTION,22,11
613,2,2,DRY,INSPECTION,24,11
614,2,2,DRY,CLASE B-C,23,11
615,2,2,DRY,CLASE B-C,22,11
616,2,2,DRY,CLASE B-C,22,11
617,2,2,DRY,CLASE B-C,22,11
618,2,2,DRY,CLASE B-C,22,11
619,2,2,DRY,CLASE B-C,22,11
620,2,2,DRY,INSPECTION,22,11
621,2,2,DRY,INSPECTION,22,11
622,2,2,DRY,INSPECTION,25,11
623,2,2,DRY,INSPECTION,25,11
624,2,2,DRY,CLASE B-C,19,11
625,2,2,DRY,CLASE B-C,22,11
626,2,1,DRY,INSPECTION,22,11
627,2,2,DRY,CLASE B-C,22,11
628,2,2,DRY,CLASE B-C,22,11
629,2,2,DRY,CLASE B-C,22,11
630,2,2,DRY,CLASE B-C,22,11
631,2,1,DRY,INSPECTION,22,11
632,2,2,DRY,CLASE B-C,22,11
633,2,2,DRY,INSPECTION,17,11
634,2,2,DRY,INSPECTION,18,11
635,3,1,DRY,CLASE B-C,17,11
636,8,2,DRY,CLASE B-C,20,11
637,8,2,DRY,CLASE B-C,20,11
