,Condition,Owner,Size,Type,Quality,week
603,O,6,2,DRY,CLASE B-C,1
604,D,6,2,DRY,CLASE B-C,1
605,O,6,2,DRY,INSPECTION,1
606,O,6,2,RF,CLASE A,1
607,I,6,2,RF,CLASE B-C,1
608,O,6,2,RF,CLASE A,1
609,O,6,2,DRY,CLASE B-C,1
610,O,6,2,DRY,CLASE B-C,1
611,O,6,2,DRY,INSPECTION,1
612,O,6,2,DRY,CLASE B-C,1
613,D,6,2,DRY,CLASE B-C,1
614,O,6,2,DRY,CLASE B-C,1
615,I,6,1,DRY,INSPECTION,1
616,I,6,1,DRY,INSPECTION,1
617,O,6,2,RF,CLASE B-C,1
618,O,6,2,DRY,CLASE B-C,1
619,O,6,2,DRY,CLASE B-C,1
620,I,6,1,DRY,INSPECTION,1
621,I,6,2,RF,CLASE B-C,1
622,O,6,2,RF,CLASE B-C,1
623,O,6,2,DRY,CLASE B-C,1
624,O,6,2,DRY,CLASE B-C,1
625,O,6,2,DRY,CLASE B-C,1
626,I,6,2,RF,CLASE B-C,1
627,I,6,2,RF,CLASE B-C,1
628,O,6,2,DRY,CLASE B-C,1
629,O,6,2,DRY,CLASE B-C,1
630,I,6,1,DRY,INSPECTION,1
631,O,6,2,DRY,CLASE B-C,1
632,O,6,2,DRY,CLASE B-C,1
633,O,1,2,RF,CLASE B-C,1
634,D,1,2,RF,CLASE B-C,1
635,D,1,2,RF,CLASE B-C,1
636,O,1,2,DRY,CLASE B-C,1
637,O,1,2,RF,CLASE B-C,1
