Unnamed: 0,Condition,Owner_in,Size_in,Type_in,Quality_in,Owner_out,Size_out,Type_out,Quality_out,DaysInDeposit,week
248,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
249,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
250,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
251,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
252,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,1,5
253,I,7,2,DRY,INSPECTION,6,2,DRY,CLASE B-C,1,5
254,O,7,2,DRY,CLASE B,1,1,DRY,CLASE D,61,5
255,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE D,112,5
256,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE D,81,5
257,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,86,5
258,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE D,81,5
259,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,83,5
260,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,83,5
261,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,83,5
262,O,7,2,DRY,CLASE B-C,7,1,DRY,CLASE D,76,5
263,D,7,2,DRY,CLASE B-C,7,1,DRY,CLASE D,76,5
264,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,76,5
265,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE D,77,5
266,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE D,77,5
267,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,77,5
268,D,7,2,DRY,CLASE A,1,1,DRY,CLASE D,77,5
269,D,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,57,5
270,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,57,5
271,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,58,5
272,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,58,5
273,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,57,5
274,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,58,5
275,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,58,5
276,D,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,58,5
277,D,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,58,5
278,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,58,5
279,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE D,57,5
280,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,56,5
281,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,56,5
282,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE D,56,5
283,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,56,5
284,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,55,5
285,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE D,55,5
286,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,54,5
287,O,7,2,DRY,CLASE B-C,4,2,DRY,CLASE B-C,61,5
288,D,7,2,DRY,CLASE D,6,2,RF,CLASE B-C,53,5
289,D,7,2,DRY,CLASE B-C,7,2,RF,CLASE B-C,53,5
290,D,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,41,5
291,O,7,2,DRY,CLASE B-C,7,1,DRY,CLASE B-C,39,5
292,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,44,5
293,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,1,5
294,D,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,1,5
295,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,44,5
296,I,7,2,DRY,INSPECTION,6,2,DRY,CLASE B-C,1,5
297,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,44,5
298,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,44,5
299,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,44,5
300,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,44,5
301,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,44,5
302,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,1,5
303,O,7,2,DRY,CLASE B-C,6,2,RF,CLASE B-C,36,5
304,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE A,44,5
305,D,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B,1,5
306,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,1,5
307,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE A,44,5
308,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,1,5
309,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,42,5
310,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,1,5
311,O,7,2,DRY,CLASE B,6,2,DRY,CLASE B-C,44,5
312,O,7,2,DRY,CLASE B,6,2,DRY,CLASE B-C,44,5
313,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,44,5
314,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,44,5
315,D,7,2,DRY,CLASE B,6,2,DRY,CLASE B-C,44,5
316,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,44,5
317,O,7,2,DRY,CLASE B-C,7,1,DRY,CLASE B-C,42,5
318,O,7,2,DRY,CLASE B-C,7,1,DRY,INSPECTION,11,5
319,O,7,2,DRY,CLASE B-C,7,1,DRY,CLASE B-C,6,5
320,O,7,2,DRY,CLASE A,7,1,DRY,CLASE B-C,6,5
321,O,7,2,DRY,CLASE B,7,1,DRY,INSPECTION,37,5
322,O,7,2,DRY,CLASE A,7,1,DRY,CLASE D,34,5
323,O,7,2,DRY,CLASE A,7,1,DRY,INSPECTION,32,5
324,O,7,2,DRY,CLASE A,4,2,RF,CLASE B-C,38,5
325,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE A,33,5
326,O,7,2,DRY,CLASE B,2,2,DRY,INSPECTION,34,5
327,O,7,2,DRY,CLASE B,5,2,DRY,INSPECTION,38,5
328,O,7,2,DRY,CLASE B-C,7,1,DRY,CLASE B-C,32,5
329,O,7,2,DRY,CLASE B,7,1,DRY,CLASE B-C,32,5
330,O,7,2,DRY,CLASE B-C,7,1,DRY,INSPECTION,32,5
331,O,7,2,DRY,CLASE B,7,1,DRY,CLASE D,22,5
332,O,7,2,DRY,CLASE B-C,7,1,DRY,INSPECTION,32,5
333,O,7,2,DRY,CLASE B-C,7,1,DRY,CLASE B-C,32,5
334,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,29,5
335,O,7,2,DRY,CLASE B-C,1,2,RF,CLASE B-C,31,5
336,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE A,29,5
337,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,29,5
338,O,7,2,DRY,INSPECTION,2,2,DRY,CLASE B-C,31,5
339,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE A,28,5
340,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE A,28,5
341,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE A,28,5
342,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE A,28,5
343,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,27,5
344,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,28,5
345,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,28,5
346,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,28,5
